bin,checkm2_completeness,checkm2_contamination,checkm2_genome_size,checkm2_contigs,checkm2_n50,checkm1_completeness,checkm1_contamination
118,3.02,4.64,2751774,7,445384,8.22130943490167,0.970873786407767
119,66.75,0.0,2751227,12,274567,58.62068965517241,0.0
120,44.52,43.51,2736760,23,112712,62.06896551724138,89.65517241379311
121,52.84,0.14,860917,1,860917,38.92617449664429,0.0
122,52.83,0.14,860917,1,860917,38.92617449664429,0.0
123,95.6,0.84,2361922,2,1501006,90.60402684563758,0.6711409395973155
124,52.94,0.14,860916,1,860916,38.92617449664429,0.0
125,52.94,0.14,860916,1,860916,38.92617449664429,0.0
126,52.94,0.14,860915,1,860915,38.92617449664429,0.0
127,52.94,0.14,860915,1,860915,38.92617449664429,0.0
128,52.94,0.47,860915,1,860915,38.92617449664429,0.0
129,52.94,0.14,860915,1,860915,38.92617449664429,0.0
130,52.94,0.14,860914,1,860914,38.92617449664429,0.0
131,9.57,5.53,2731525,20,143888,1.4563106796116505,0.0
132,12.62,28.72,2706781,11,310767,4.166666666666667,8.333333333333334
133,0.37,6.9,2614433,24,101095,7.973879702851666,1.3239875389408098
134,0.92,6.87,2606253,17,158008,13.087774294670847,3.605015673981191
135,26.68,23.19,2589466,12,380474,22.413793103448278,20.689655172413794
136,1.49,4.41,2564161,2,1462601,10.329153605015675,0.0
137,0.0,11.95,2522623,6,594077,7.844065656565657,10.621843434343432
138,54.31,0.85,2515200,21,121333,46.47651006711409,1.0067114093959733
139,0.07,9.1,2512600,10,394369,4.493170381020849,1.2221423436376708
140,14.89,27.16,2504760,16,157445,13.793103448275861,32.758620689655174
141,74.99,0.13,2478924,14,201638,72.41379310344827,1.7241379310344827
142,63.86,0.05,2453198,23,111423,59.76331360946745,0.0
143,18.02,8.61,2437343,9,311247,3.6458333333333335,3.6458333333333335
144,2.86,2.45,2432370,1,2432370,4.8380355276907006,0.0
145,33.07,18.3,2422791,20,147949,0.0,0.0
146,73.28,0.12,2411044,16,185980,73.46938775510205,0.0
147,5.15,3.8,2393216,3,976402,2.3824451410658307,0.0
148,0.24,7.86,2385449,10,326955,3.84012539184953,2.664576802507837
149,0.0,12.08,2383000,16,255781,7.356817637191469,5.140186915887851
150,19.37,21.19,2380004,14,180639,16.666666666666668,45.833333333333336
151,9.81,22.84,2369165,15,181908,10.344827586206897,29.310344827586206
152,22.65,34.43,2361360,7,398833,22.413793103448278,31.03448275862069
153,35.03,9.29,2358861,14,198962,29.310344827586206,3.4482758620689653
154,6.95,3.91,2348738,10,408689,4.64994775339603,0.31347962382445144
155,19.88,27.68,2334727,17,135592,4.166666666666667,0.0
156,0.0,7.69,2324921,9,411710,7.135154565061107,2.4442846872753416
157,20.65,16.71,2307731,3,704245,4.166666666666667,0.0
158,24.41,22.0,2281305,7,353088,12.5,12.5
159,31.65,20.81,2234061,7,354923,22.413793103448278,10.344827586206897
160,0.01,11.36,2233198,7,514436,3.110047846889952,2.0733652312599684
161,17.72,22.86,2228869,10,261071,17.24137931034483,37.93103448275862
162,27.8,18.59,2212045,16,146846,12.280701754385966,14.035087719298245
163,0.18,9.75,2209711,7,383521,3.97196261682243,0.9345794392523364
164,97.39,54.68,4805972,17,364479,98.24561403508773,64.91228070175438
165,12.3,23.65,2180764,11,251571,8.796296296296296,29.62962962962963
166,94.79,0.15,1924087,5,579015,97.00680272108843,0.0
167,14.65,6.85,2158390,3,739183,1.0416666666666667,0.0
168,20.39,21.77,2154830,15,172373,8.333333333333334,12.5
169,4.17,2.13,2150122,5,450620,10.436137071651089,0.0
170,95.72,0.09,2147024,7,398448,97.37827715355806,0.0
171,5.07,2.13,2141500,3,1077387,6.080757248981548,0.0
172,29.42,7.27,2133008,15,142283,15.67398119122257,0.8620689655172413
173,16.85,26.19,2076789,14,149024,13.793103448275861,51.724137931034484
174,36.58,24.06,2069847,12,211839,43.10344827586207,29.310344827586206
175,5.5,2.83,2053431,1,2053431,4.92451473759885,0.0
176,8.64,8.96,2052491,6,530009,3.7383177570093458,0.9345794392523364
177,4.55,3.29,2042232,7,323286,7.320872274143301,0.0
178,5.17,7.17,2034248,3,597974,4.8119122257053295,0.0
179,72.17,0.15,1992647,14,173720,78.52348993288591,0.0
180,6.54,5.98,1981344,4,719901,7.009345794392523,0.0
181,12.26,18.38,1967099,15,143383,8.333333333333334,25.0
182,0.01,4.78,1965315,3,845850,11.346752935537982,0.9345794392523364
183,20.19,16.69,1963328,8,991749,12.5,8.333333333333334
184,36.34,4.3,1957205,10,265715,20.689655172413794,0.0
185,0.0,6.15,1940292,15,113912,3.87011742151929,1.8691588785046729
186,17.16,22.67,1906568,11,191304,8.333333333333334,8.333333333333334
187,5.75,5.61,1375945,5,310070,5.254013898873712,0.8147615624251139
188,18.55,8.42,1905778,11,226648,8.620689655172415,5.172413793103448
189,17.31,4.07,1887199,12,192918,4.166666666666667,0.0
190,1.23,7.38,1885808,11,229523,3.7383177570093458,0.0
191,42.31,0.01,1883143,9,213885,37.98543689320388,0.0
192,53.17,10.99,1878081,20,94015,0.0,0.0
193,8.52,6.69,1877720,4,1254225,4.085789599808292,0.0
194,0.53,11.46,1877013,2,991830,4.545454545454545,4.545454545454545
195,31.19,10.55,1864358,13,173961,18.96551724137931,6.896551724137931
196,28.08,33.87,1824872,6,450516,49.12280701754386,78.94736842105263
197,14.98,10.36,1804838,8,306591,5.172413793103448,3.4482758620689653
198,92.58,78.37,8355405,34,347394,100.0,143.10344827586206
199,31.05,33.52,1802383,12,135567,16.666666666666668,12.5
200,25.52,5.85,1777894,9,215145,5.607476635514018,0.9345794392523364
201,41.45,19.85,3090055,10,452418,24.56140350877193,10.526315789473685
202,22.59,12.26,1772654,14,121561,4.166666666666667,0.0
203,13.3,6.86,1755124,10,245425,2.830188679245283,0.0
204,28.84,2.01,1753863,8,280684,24.137931034482758,1.7241379310344827
205,0.01,3.86,1748079,5,528362,0.37878787878787884,0.7575757575757577
206,66.26,16.57,1741543,12,167668,0.0,0.0
207,18.02,13.9,1727980,15,103777,8.620689655172415,8.620689655172415
208,79.62,0.02,1688057,9,256192,80.0677966101695,0.1694915254237288
209,0.93,11.38,1671953,12,170121,4.708842559309849,1.4018691588785046
210,4.3,4.6,1640442,5,376180,5.020369039060628,0.0
211,0.0,11.22,1636531,5,893626,1.8808777429467083,1.7241379310344827
212,17.54,33.09,1629308,10,231482,8.333333333333334,29.166666666666668
213,26.75,11.82,1627946,9,243592,15.517241379310345,6.896551724137931
214,0.0,10.52,1626015,2,1069850,2.462257368799425,0.2875629043853343
215,12.94,17.67,1605591,11,167661,4.166666666666667,16.666666666666668
216,51.83,4.11,1602218,15,108676,42.10526315789474,7.017543859649122
217,0.0,0.56,1600779,17,88111,19.206805655403787,1.4018691588785046
218,0.11,8.43,1594032,2,1013725,10.280373831775702,6.074766355140187
219,54.08,22.45,1591458,10,159146,0.0,0.0
220,0.34,4.99,1582194,3,547905,2.6839204409297865,0.0
221,19.16,12.81,1581788,10,141437,8.333333333333334,8.333333333333334
222,3.93,5.12,1556773,2,1341960,0.0,0.0
223,15.78,19.98,1534947,11,142478,0.0,0.0
224,7.96,3.85,1532768,9,192943,3.2710280373831777,0.0
225,92.05,0.13,2037542,11,191122,82.65306122448979,0.0
226,16.77,5.99,1532400,10,147885,4.166666666666667,0.0
227,47.58,0.35,1521613,2,933347,46.55172413793103,0.0
228,5.99,2.74,1520964,4,933063,7.320872274143301,0.0
229,33.23,0.08,602050,1,602050,34.54545454545455,0.0
230,13.63,10.08,1515105,15,104729,0.0,0.0
231,12.14,15.38,1510882,11,142346,0.0,0.0
232,15.12,4.77,1437363,15,93627,0.0,0.0
233,3.31,8.12,1414200,6,358891,4.885057471264368,4.885057471264368
234,12.99,8.09,1398273,7,220628,0.0,0.0
235,9.16,10.15,1391116,8,179148,1.4018691588785046,0.0
236,8.73,4.71,1388943,2,1138318,1.2221423436376708,0.0
237,6.51,3.19,1376583,9,171888,4.166666666666667,0.0
238,9.98,5.15,1367681,2,963271,2.840909090909091,0.0
239,8.98,30.19,1364263,6,369636,16.666666666666668,58.333333333333336
240,11.12,4.32,1337732,5,478828,2.74294670846395,0.0
241,7.74,3.03,1330860,1,1330860,1.0188087774294672,0.0
242,20.03,2.56,1316488,6,191024,4.166666666666667,0.0
243,8.6,27.96,1310004,10,147249,4.166666666666667,33.333333333333336
244,20.47,9.53,1275077,8,168535,10.344827586206897,8.620689655172415
245,23.15,0.32,1270033,1,1270033,4.166666666666667,0.0
246,14.35,0.06,867782,2,583479,5.329153605015674,0.0
247,1.07,3.36,1259644,5,289158,3.0303030303030303,0.0
248,66.11,0.01,1250226,8,209752,70.80745341614907,0.0
249,9.85,4.3,1250141,1,1250141,0.0,0.0
250,46.74,0.06,1236387,7,207147,31.03448275862069,0.0
251,15.76,11.73,1224833,9,144202,0.0,0.0
252,26.31,4.8,1198423,3,763604,17.54385964912281,0.0
253,72.04,8.68,1197671,10,119776,0.0,0.0
254,30.55,14.23,1177985,2,762716,38.59649122807018,12.280701754385966
255,20.86,1.55,1163265,8,239823,0.0,0.0
256,8.47,2.6,1149649,5,343834,5.031446540880502,0.0
257,9.02,29.99,1130899,6,243666,8.333333333333334,29.166666666666668
258,8.69,3.45,1129622,1,1129622,7.764198418404026,0.0
259,19.27,0.38,1126548,9,131908,13.793103448275861,1.7241379310344827
260,5.94,1.28,1114086,1,1114086,7.141145458902468,0.0
261,12.56,15.21,1102930,6,269566,0.0,0.0
262,28.29,5.25,1100745,10,112541,4.166666666666667,0.0
263,13.53,10.29,1096681,9,108065,8.333333333333334,8.333333333333334
264,9.3,13.02,1089992,4,270315,0.0,0.0
265,18.15,10.14,1070391,5,323823,8.333333333333334,0.0
266,8.57,2.33,1057613,2,630987,1.8808777429467083,0.0
267,11.7,6.26,1056619,4,281570,0.0,0.0
268,7.1,14.05,1047839,5,280568,0.0,0.0
269,14.04,0.33,1032016,7,162389,4.166666666666667,0.0
270,10.26,1.15,1012525,8,143811,0.0,0.0
271,0.01,2.72,1009471,8,131508,1.8808777429467083,0.31347962382445144
272,31.19,0.1,984095,9,102066,44.827586206896555,0.0
273,16.3,0.68,978073,11,89133,0.0,0.0
274,0.0,1.34,941786,2,728369,0.3115264797507788,0.0
275,55.76,8.92,941375,12,76899,0.0,0.0
276,7.45,2.93,937738,3,577147,1.7241379310344827,0.8620689655172413
277,13.68,0.59,900750,5,138685,0.0,0.0
278,13.62,6.75,900077,5,271331,6.896551724137931,6.896551724137931
279,7.75,1.91,899210,1,899210,7.554517133956385,0.0
280,15.15,2.76,895440,7,141173,4.166666666666667,4.166666666666667
281,12.44,0.07,882273,3,521930,2.2988505747126435,0.0
282,12.18,7.84,881826,7,168056,0.0,0.0
283,5.96,0.98,868294,1,868294,2.0376175548589344,0.0
284,10.18,0.06,862922,8,115725,0.0,0.0
285,13.82,1.33,862867,3,591276,4.331416247304098,0.0
286,8.29,0.47,859977,8,90126,0.7442849548112705,1.1695906432748537
287,25.42,0.0,850390,1,850390,17.54385964912281,0.0
288,15.38,0.88,849259,2,545567,2.053291536050157,0.0
289,25.2,0.03,846690,8,101524,29.82456140350877,0.0
290,21.2,0.0,842725,3,589313,17.72151898734177,0.0
291,35.55,0.53,819661,7,108910,32.631578947368425,1.7543859649122806
292,11.34,0.02,810239,2,725401,4.166666666666667,0.0
293,0.0,0.24,797459,4,247022,0.0,0.0
294,2.17,0.28,795558,2,403127,0.0,0.0
295,8.66,0.08,772955,1,772955,4.166666666666667,0.0
296,92.12,0.1,1768028,6,475786,89.14728682170542,0.7751937984496124
297,13.16,1.99,766872,5,167280,0.31347962382445144,0.15673981191222572
298,30.54,0.0,765435,8,95785,20.689655172413794,0.0
299,13.31,0.1,754600,5,171250,4.672897196261682,0.0
300,11.2,2.72,752198,2,416108,4.166666666666667,4.166666666666667
301,2.69,0.2,738120,3,567183,0.0,0.0
302,4.89,0.05,728893,2,654951,0.0,0.0
303,7.99,0.05,720867,2,526951,0.0,0.0
304,14.47,0.0,706287,2,379945,8.620689655172415,0.0
305,14.7,4.51,704706,5,140360,4.166666666666667,4.166666666666667
306,14.67,1.72,691549,2,445481,4.166666666666667,0.0
307,6.23,0.09,691306,2,532470,4.166666666666667,0.0
308,26.24,0.02,676824,7,102563,43.85964912280702,0.0
309,9.88,3.48,673077,4,170314,0.0,0.0
310,6.4,0.06,662521,1,662521,0.0,0.0
311,8.82,0.08,635625,1,635625,0.9433962264150944,0.0
312,10.34,0.0,505985,1,505985,10.19108280254777,0.0
313,16.99,0.0,505244,1,505244,10.126582278481013,0.0
314,7.06,0.09,616027,1,616027,1.8867924528301887,0.0
315,14.75,0.0,597437,1,597437,8.333333333333334,0.0
316,11.23,5.29,596713,4,149266,0.0,0.0
317,97.32,0.38,2063727,9,320863,92.20779220779221,0.8387445887445887
318,13.39,0.14,584179,1,584179,0.0,0.0
319,13.73,3.68,581354,3,296196,15.789473684210526,1.7543859649122806
320,9.81,0.02,571687,2,319275,0.0,0.0
321,12.82,1.68,568820,3,285003,0.0,0.0
322,12.74,0.03,553637,4,168950,6.896551724137931,0.0
323,10.42,0.11,549801,1,549801,0.0,0.0
324,19.61,8.54,1060203,7,158281,20.569620253164558,6.329113924050633
325,14.68,0.06,521357,1,521357,1.0416666666666667,0.0
326,7.37,3.6,518069,3,175201,0.0,0.0
327,7.62,20.84,509851,5,96211,4.166666666666667,16.666666666666668
328,9.94,0.19,509120,6,81167,0.0,0.0
329,13.19,5.74,505449,5,93554,0.0,0.0
330,5.4,0.03,503773,2,411313,0.0,0.0
331,8.69,2.55,501284,3,155231,0.0,0.0
332,10.42,0.0,482153,1,482153,8.333333333333334,0.0
333,9.2,0.0,455810,1,455810,8.333333333333334,0.0
334,5.01,0.03,440764,1,440764,0.0,0.0
335,8.38,0.02,423070,1,423070,0.0,0.0
336,8.84,3.99,400332,2,263109,0.0,0.0
337,9.98,0.0,385447,1,385447,6.153846153846154,0.0
338,8.01,0.02,384716,1,384716,1.8691588785046729,0.0
339,7.23,0.08,359851,2,244569,0.0,0.0
340,7.97,0.0,346496,2,186659,0.5847953216374269,0.0
341,6.07,1.05,340100,2,170818,0.0,0.0
342,6.01,0.01,331609,1,331609,8.620689655172415,0.0
343,8.32,0.0,318101,1,318101,8.333333333333334,0.0
344,8.69,0.0,295414,1,295414,5.172413793103448,0.0
345,6.77,0.33,293033,3,96121,0.0,0.0
346,9.0,0.02,286782,1,286782,0.0,0.0
347,10.78,0.0,272379,1,272379,4.166666666666667,0.0
348,4.62,0.01,265384,1,265384,0.15673981191222572,0.0
349,7.29,0.03,257776,2,150700,0.0,0.0
350,8.55,0.0,214390,1,214390,6.896551724137931,0.0
351,7.0,0.0,205116,1,205116,3.508771929824561,0.0
357,36.61,55.98,3737702,20,184579,47.78481012658228,92.0886075949367
382,97.86,68.44,4495718,22,264254,96.42857142857143,78.57142857142857
392,80.75,0.08,2792102,13,233809,86.70886075949367,0.0
412,96.84,0.1,2902411,10,439733,94.15204678362574,1.4619883040935673
457,89.21,1.33,2667298,12,289906,87.91946308724832,0.6711409395973155
460,96.39,34.69,2984361,23,134268,94.73684210526316,42.10526315789474
466,14.11,0.0,403619,1,403619,20.384501626737652,0.0
467,14.11,0.0,403618,1,403618,20.384501626737652,0.0
518,93.87,0.41,3163324,14,345516,93.75,0.0
574,8.4,0.0,358251,1,358251,6.153846153846154,0.0
582,0.0,9.45,1228579,7,268074,2.803738317757009,0.0
593,12.73,0.0,352636,1,352636,20.384501626737652,0.0
625,78.93,0.21,2764762,18,190710,85.08771929824562,0.0
627,10.65,0.0,338723,1,338723,6.802721088435374,0.0
666,11.48,0.0,323943,1,323943,9.49367088607595,0.0
669,14.23,11.93,815414,5,147835,17.24137931034483,24.137931034482758
679,75.28,0.16,2010330,11,301326,79.74683544303798,0.0
691,75.05,81.27,6579330,37,230345,87.92270531400966,201.69082125603865
715,7.89,0.24,308920,1,308920,5.339805825242719,0.0
722,76.45,0.06,1904171,12,166637,75.0,0.0
732,87.89,0.2,3265868,12,374439,90.38461538461539,0.0
782,45.2,59.91,4195310,14,276786,65.00974658869396,114.23001949317738
794,94.32,0.09,2703345,11,294510,94.35483870967742,0.8064516129032258
812,44.99,43.45,4144136,26,165663,42.51700680272109,67.68707482993197
840,27.78,0.67,1072484,8,137835,20.512820512820515,0.0
845,14.14,17.68,1240674,7,183188,14.232209737827715,16.10486891385768
875,88.8,64.45,6123268,37,192330,98.24561403508773,140.35087719298247
893,78.54,0.63,3866510,7,654174,82.15613382899629,0.0
898,22.44,5.0,1279887,6,273115,16.019417475728154,3.7486515641855447
942,8.47,0.0,267463,1,267463,4.093567251461988,0.0
977,80.91,2.01,4309632,21,230366,77.70700636942675,0.0
992,56.45,32.18,1882694,15,134301,48.18181818181818,32.95454545454545
1030,90.92,87.63,4390484,35,123756,96.33173843700159,134.06698564593302
1031,6.57,0.0,251717,1,251717,7.246376811594203,0.0
1032,6.58,0.01,251717,1,251717,7.246376811594203,0.0
1033,26.61,40.55,3378258,28,125316,18.840579710144926,39.371980676328505
1034,11.17,0.08,442449,3,251703,14.251207729468598,0.0
1035,6.59,0.01,251700,1,251700,7.231280193236715,0.0
1036,6.59,0.01,251699,1,251699,7.246376811594203,0.0
1037,6.58,0.01,251695,1,251695,7.246376811594203,0.0
1038,6.58,0.01,251694,1,251694,7.246376811594203,0.0
1039,6.58,0.01,251659,1,251659,7.246376811594203,0.0
1041,11.68,1.61,378754,2,251647,11.185983827493262,0.0
1042,6.58,0.01,251639,1,251639,7.246376811594203,0.0
1047,26.48,28.66,1802456,9,229639,29.310344827586206,41.37931034482759
1048,94.31,2.07,3081434,18,205133,86.70886075949367,1.5822784810126582
1053,79.79,2.23,2343743,16,172576,75.16778523489933,1.342281879194631
1066,8.41,27.61,2483458,23,106131,19.29824561403509,64.91228070175438
1110,51.08,18.58,1083692,7,200876,36.44444444444444,17.333333333333332
1116,14.37,15.63,1346773,5,244644,25.862068965517242,27.586206896551722
1138,84.18,0.6,2624315,18,157577,90.44834307992203,1.7543859649122806
1171,11.68,0.0,232462,1,232462,8.724832214765101,0.0
1176,68.74,0.05,2351154,16,158608,73.41772151898734,0.0
1179,89.8,50.75,7488736,50,176073,56.703810208483105,13.371675053918045
1239,4.12,0.0,225043,1,225043,0.16233766233766236,0.0
1240,0.06,9.17,2215035,14,150012,8.177570093457945,2.803738317757009
1274,28.27,18.4,2090019,15,152976,15.189873417721518,5.69620253164557
1275,7.7,0.0,222474,1,222474,5.063291139240507,0.0
1330,99.93,1.26,3101643,10,460994,97.31543624161074,2.684563758389262
1347,60.61,62.28,4028525,22,212054,46.835443037974684,89.24050632911393
1434,60.96,36.09,5867504,31,217884,58.07692307692308,36.15384615384615
1455,87.62,0.0,4029434,24,192951,87.59093915343915,0.03720238095238095
1462,11.68,0.03,318441,2,203285,12.663755458515285,0.0
1466,4.1,0.0,202943,1,202943,3.8461538461538463,0.0
1471,55.83,68.1,4862704,27,202303,75.0,185.71428571428572
1504,13.25,0.0,377080,2,199383,17.006802721088434,0.0
1516,71.94,0.26,2135281,12,178684,78.3625730994152,0.0
1561,61.59,48.84,3171211,11,305089,69.84848484848484,91.36363636363636
1607,28.14,12.48,1068207,7,140027,17.123287671232877,8.904109589041095
1608,72.9,55.81,3577123,24,146286,73.6842105263158,61.40350877192982
1614,62.97,0.7,2664181,15,188921,59.70464135021096,0.6329113924050633
1666,75.88,0.5,2580719,16,185332,80.37974683544304,0.1463607594936709
1677,86.5,84.64,10234812,56,197281,100.0,254.20062695924764
1680,99.72,0.04,1500136,8,189998,96.44476372924647,0.20833333333333337
1707,21.16,5.0,1171844,6,199115,18.42502696871629,4.0722761596548
1759,78.54,2.25,1590209,13,128734,76.77304964539007,1.1524822695035462
1777,27.27,0.04,1406426,3,538609,25.278810408921935,0.0
1788,72.56,22.98,5017425,40,142250,62.69230769230769,35.76923076923077
